Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.K-8.10,"Apply a range of strategies to determine and deepen the meaning of known, unknown, and multiple-meaning words, phrases, and jargon; acquire and use general academic and domain-specific vocabulary.",,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.K-8.10,"Apply a range of strategies to determine and deepen the meaning of known, unknown, and multiple-meaning words, phrases, and jargon; acquire and use general academic and domain-specific vocabulary.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.K-8.10,"Apply a range of strategies to determine and deepen the meaning of known, unknown, and multiple-meaning words, phrases, and jargon; acquire and use general academic and domain-specific vocabulary.",,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.K-8.10,"Apply a range of strategies to determine and deepen the meaning of known, unknown, and multiple-meaning words, phrases, and jargon; acquire and use general academic and domain-specific vocabulary.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.K-8.10,"Apply a range of strategies to determine and deepen the meaning of known, unknown, and multiple-meaning words, phrases, and jargon; acquire and use general academic and domain-specific vocabulary.",,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.K-8.10,"Apply a range of strategies to determine and deepen the meaning of known, unknown, and multiple-meaning words, phrases, and jargon; acquire and use general academic and domain-specific vocabulary.",,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.10.1,"With guidance and support, ask and answer questions about known and unknown words.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.10.1,Ask and answer questions about known and unknown words.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.10.1,Use context to determine the meaning of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.10.2,"With guidance and support, identify new meanings for familiar words and apply them accurately.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.10.2,Identify new meanings for familiar words and apply them accurately.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.10.2,Determine the meaning of a newly formed word when a known affix is added to a known word.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.10.3,"With guidance and support, use inflectional endings and affixes to determine the meaning of unknown words.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.10.3,Use inflectional endings and affixes to determine the meaning of unknown words.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.10.3,Use a base word to determine the meaning of an unknown word with the same base.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.10.4,"With guidance and support, identify the individual words used to form a compound word.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.10.4,Identify the individual words used to form a compound word.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.10.4,Use the meanings of individual words to predict the meaning of compound words.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.10.5,"With guidance and support, use print and multimedia resources to explore word relationships and nuances in word meanings.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.10.5,Use print and multimedia resources to explore word relationships and nuances in word meanings.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.10.5,Use print and multimedia resources to determine or clarify the precise meaning of words or phrases.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.10.6,"With guidance and support, use words and phrases acquired through talk and text; explore nuances of words and phrases.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.10.6,Use words and phrases acquired through talk and text; explore nuances of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.10.6,Use general academic and domain-specific words and phrases acquired through talk and text; explore nuances of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.10.1,Use paragraph-level context to determine the meaning of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.10.1,"Use definitions, examples, and restatements to determine the meaning of words or phrases.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.10.1,Use cause and effect relationships and comparisons to determine the meaning of words or phrases.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.10.2,Determine the meaning of a word when an affix is added to a base word.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.10.2,Determine the meaning of an unknown word using knowledge of base words and Greek and Latin affixes.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.10.2,Determine the meaning of an unknown word using knowledge of base words and Greek and Latin affixes.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.10.4,Students are expected to continue to build upon concepts learned previously.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.10.4,Students are expected to continue to build upon concepts learned previously.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.10.4,Students are expected to continue to build upon concepts learned previously.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.10.5,Consult print and multimedia resources to find the pronunciation and determine or clarify the precise meaning of key words or phrases.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4-5.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.4-5.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.10.6,Acquire and use general academic and domain-specific words and phrases that signal spatial and temporal relationships; demonstrate an understanding of nuances.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.10.6,"Acquire and use general academic and domain-specific words or phrases that signal precise actions, emotions, and states of being; demonstrate an understanding of nuances and jargon.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.10.6,"Acquire and use general academic and domain-specific words or phrases that signal contrast, addition, and logical relationships; demonstrate an understanding of nuances and jargon.",,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.10.1,Use the overall meaning of a text or a word's position or function to determine the meaning of a word or phrase.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7.10.1,Use context clues to determine meanings of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.8.10.1,Use context clues to determine meanings of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.10.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.10.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.10.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.10.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.10.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.10.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.10.6,"Acquire and use general academic and domain-specific words or phrases that signal precise actions, emotions, and states of being; demonstrate an understanding of nuances and jargon.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7-8.10.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.7-8.10.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.K-8.11,"Analyze and provide evidence of how the author's choice of point of view, perspective, or purpose shapes content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.11.1,Identify the author and illustrator and define the role of each.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.11.1,"Identify the author's purpose—to explain, entertain, inform, or convince.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.11.1,Identify and analyze the author's purpose.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.11.2,"Identify who is telling the story, the narrator or characters.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.11.2,"Distinguish who is telling the story at various points in a text, the narrator or characters.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.11.2,Recognize differences between the points of view and perspectives of the narrator and various characters.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.11.1,Explain the differences between first and third person points of view.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.11.1,Compare and contrast first and third person points of view; determine how an author's choice of point of view influences the content and meaning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.11.1,"Explain how the author's choice of the point of view of a narrator or character impacts content, meaning, and how events are described.",,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.11.2,Compare and contrast the reader's point of view to that of the narrator or a character.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4-5.11.2,Students are expected to build upon and continue applying concepts learned previously.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.4-5.11.2,Students are expected to build upon and continue applying concepts learned previously.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.11.1,"Explain how an author's development of the point of view of the narrator or speaker impacts content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7.11.1,"Analyze how an author develops and contrasts points of view to impact content, meaning, and style.",,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.8.11.1,Analyze how the author's development of perspectives of the characters and the reader create suspense or humor.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.11.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.11.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.11.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.K-8.12,Analyze and critique how the author uses structures in print and multimedia texts to shape meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.12.1,Recognize and sort types of literary texts.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.12.1,Classify literary texts according to characteristics of a genre.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.12.1,Describe the overall structure of a narrative including how the beginning introduces and the ending concludes the action.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.12.2,Recognize the crafted text structure of recurring phrases.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.12.2,Recognize how the author uses crafted text structures of recurring phrases and dialogue.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.12.2,"Recognize characteristics of crafted text structures such as diary, seesaw texts, and circular texts.",,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.12.1,"Identify text structures of various genres using the terms paragraph, chapter, scene, and stanza; describe how each part transitions.",,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.12.1,"Explain how a series of chapters, scenes, or stanzas fit together to provide the overall structure of a particular story, drama, or poem.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.12.1,"Explain how text structures in prose, drama, or poetry differ using terms unique to the genre.",,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.12.2,"Identify crafted text structures such as a collection of photographs or poetry texts, texts with a series of short memoirs, an inanimate voice text, and a framing question text.",,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.12.2,Determine characteristics of crafted text structures and describe why an author uses this structure.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.12.2,Compare how different crafted text structures contribute to meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.12.1,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7.12.1,"Analyze how complex text structures in prose, drama, and poetry contribute to development of theme, setting, or plot.",,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.8.12.1,Compare and contrast the structure of two or more texts with similar topics or themes and analyze how the differing structure of each contributes to meaning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.12.2,Compare and contrast how different text structures contribute to meaning and impact the reader.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7.12.2,Analyze the author's choice of structures within the text and draw conclusions about how they impact meaning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.8.12.2,Analyze the author's choice of structures within the text and draw conclusions about how they impact meaning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.K-8.13,"Read independently and comprehend a variety of texts for the purposes of reading for enjoyment, acquiring new learning, and building stamina; reflect and respond to increasingly complex text over time.",,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.13.3,"Read and respond according to task and purpose to become self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.13.3,"Read and respond according to task and purpose to become self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.13.3,"Read and respond according to task and purpose to become self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3.13.3,"Read and respond according to task and purpose to become self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.4.13.3,"Read and respond according to task and purpose to become self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.5.13.3,"Read and respond according to task and purpose to become self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.13.1,Engage in whole and small group reading with purpose and understanding through teacher modeling and gradual release of responsibility.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7.13.1,Engage in whole and small group reading with purpose and understanding through teacher modeling and gradual release of responsibility.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.8.13.1,Engage in whole and small group reading with purpose and understanding through teacher modeling and gradual release of responsibility.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.8.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6.13.3,"Read and respond to grade level text to become self-directed, critical readers, and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.7.13.3,"Read and respond to grade level text to become self-directed, critical readers, and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.8.13.3,"Read and respond to grade level text to become self-directed, critical readers, and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Informational Text,RI.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Informational Text,RI.K.1.1,"Follow words from left to right, top to bottom, and front to back.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Informational Text,RI.1.1.1,Recognize the distinguishing features of a sentence.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Informational Text,RI.2.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Informational Text,RI.K.1.2,Recognize that spoken words are represented in written language by specific sequences of letters.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Informational Text,RI.1-2.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Informational Text,RI.1-2.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Informational Text,RI.K.1.3,Understand that words are separated by spaces in print.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Informational Text,RI.1-2.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Informational Text,RI.1-2.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Informational Text,RI.K.1.4,Recognize and name all upper- and lowercase letters of the alphabet.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Informational Text,RI.1-2.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Informational Text,RI.1-2.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Informational Text,RI.3-5.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Informational Text,RI.3-5.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Informational Text,RI.3-5.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Informational Text,RI.3-5.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Informational Text,RI.3-5.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Informational Text,RI.3-5.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Informational Text,RI.3-5.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Informational Text,RI.3-5.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Informational Text,RI.3-5.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Informational Text,RI.3-5.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Informational Text,RI.3-5.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Informational Text,RI.3-5.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Informational Text,RI.6-8.1.1,Students are expected to build upon and continue applying previous learning.,,
