Standard,Subject,Grade,Strand,Standard Number,Description
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.9,Extend the concept of similarity to determine arc lengths and areas of sectors of circles.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.9,Extend the concept of similarity to determine arc lengths and areas of sectors of circles.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.10,Translate between the geometric description and the equation for a conic section.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.10,Translate between the geometric description and the equation for a conic section.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.10,Translate between the geometric description and the equation for a conic section.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.10,Translate between the geometric description and the equation for a conic section.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.11,Apply coordinate geometry to prove simple geometric theorems algebraically.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.11,Apply coordinate geometry to prove simple geometric theorems algebraically.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.11,Apply coordinate geometry to prove simple geometric theorems algebraically.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.11,Apply coordinate geometry to prove simple geometric theorems algebraically.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.12,Explain volume formulas and use them to solve problems.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.12,Explain volume formulas and use them to solve problems.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.12,Explain volume formulas and use them to solve problems.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.12,Explain volume formulas and use them to solve problems.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.13,Analyze relationships between two-dimensional and three-dimensional objects.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.13,Analyze relationships between two-dimensional and three-dimensional objects.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.13,Analyze relationships between two-dimensional and three-dimensional objects.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.13,Analyze relationships between two-dimensional and three-dimensional objects.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.14,Apply geometric concepts to model and solve real world problems.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.14,Apply geometric concepts to model and solve real world problems.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.14,Apply geometric concepts to model and solve real world problems.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.14,Apply geometric concepts to model and solve real world problems.
PA Core - Mathematics,Math,PreK,"Measurement, Data, and Probability",CC.2.4.PreK.A.1,Describe and compare measurable attributes of length and weight of everyday objects.
PA Core - Mathematics,Math,K,"Measurement, Data, and Probability",CC.2.4.K.A.1,"Describe and compare attributes of length, area, weight, and capacity of everyday objects."
PA Core - Mathematics,Math,1,"Measurement, Data, and Probability",CC.2.4.1.A.1,Order lengths and measure them both indirectly and by repeating length units.
PA Core - Mathematics,Math,1,"Measurement, Data, and Probability",CC.2.4.1.A.2,Tell and write time to the nearest half hour using both analog and digital clocks.
PA Core - Mathematics,Math,2,"Measurement, Data, and Probability",CC.2.4.2.A.1,Measure and estimate lengths in standard units using appropriate tools.
PA Core - Mathematics,Math,2,"Measurement, Data, and Probability",CC.2.4.2.A.2,Tell and write time to the nearest five minutes using both analog and digital clocks.
PA Core - Mathematics,Math,2,"Measurement, Data, and Probability",CC.2.4.2.A.3,Solve problems and make change using coins and paper currency with appropriate symbols.
PA Core - Mathematics,Math,3,"Measurement, Data, and Probability",CC.2.4.3.A.1,"Solve problems involving measurement and estimation of temperature, liquid volume, mass, and length."
PA Core - Mathematics,Math,3,"Measurement, Data, and Probability",CC.2.4.3.A.2,Tell and write time to the nearest minute and solve problems by calculating time intervals.
PA Core - Mathematics,Math,3,"Measurement, Data, and Probability",CC.2.4.3.A.3,Solve problems and make change involving money using a combination of coins and bills.
PA Core - Mathematics,Math,4,"Measurement, Data, and Probability",CC.2.4.4.A.1,Solve problems involving measurement and conversions from a larger unit to a smaller unit.
PA Core - Mathematics,Math,4,"Measurement, Data, and Probability",CC.2.4.4.A.2,Translate information from one type of data display to another.
PA Core - Mathematics,Math,5,"Measurement, Data, and Probability",CC.2.4.5.A.1,Solve problems using conversions within a given measurement system.
PA Core - Mathematics,Math,5,"Measurement, Data, and Probability",CC.2.4.5.A.2,Represent and interpret data using appropriate scale.
PA Core - Mathematics,Math,PreK,"Measurement, Data, and Probability",CC.2.4.PreK.A.4,Classify objects and count the number of objects in each category.
PA Core - Mathematics,Math,K,"Measurement, Data, and Probability",CC.2.4.K.A.4,Classify objects and count the number of objects in each category.
PA Core - Mathematics,Math,1,"Measurement, Data, and Probability",CC.2.4.1.A.4,Represent and interpret data using tables/charts.
PA Core - Mathematics,Math,2,"Measurement, Data, and Probability",CC.2.4.2.A.4,"Represent and interpret data using line plots, picture graphs, and bar graphs."
PA Core - Mathematics,Math,2,"Measurement, Data, and Probability",CC.2.4.2.A.6,Extend the concepts of addition and subtraction to problems involving length.
PA Core - Mathematics,Math,3,"Measurement, Data, and Probability",CC.2.4.3.A.4,"Represent and interpret data using tally charts, tables, pictographs, line plots, and bar graphs."
PA Core - Mathematics,Math,3,"Measurement, Data, and Probability",CC.2.4.3.A.5,Determine the area of a rectangle and apply the concept to multiplication and to addition.
PA Core - Mathematics,Math,3,"Measurement, Data, and Probability",CC.2.4.3.A.6,Solve problems involving perimeters of polygons and distinguish between linear and area measures.
PA Core - Mathematics,Math,4,"Measurement, Data, and Probability",CC.2.4.4.A.4,Represent and interpret data involving fractions using information provided in a line plot.
PA Core - Mathematics,Math,4,"Measurement, Data, and Probability",CC.2.4.4.A.6,Measure angles and use properties of adjacent angles to solve problems.
PA Core - Mathematics,Math,5,"Measurement, Data, and Probability",CC.2.4.5.A.4,Solve problems involving computation of fractions using information provided in a line plot.
PA Core - Mathematics,Math,5,"Measurement, Data, and Probability",CC.2.4.5.A.5,Apply concepts of volume to solve problems and relate volume to multiplication and to addition.
PA Core - Mathematics,Math,6,"Measurement, Data, and Probability",CC.2.4.6.B.1,"Demonstrate an understanding of statistical variability by displaying, analyzing, and summarizing distributions."
PA Core - Mathematics,Math,7,"Measurement, Data, and Probability",CC.2.4.7.B.1,Draw inferences about populations based on random sampling concepts.
PA Core - Mathematics,Math,7,"Measurement, Data, and Probability",CC.2.4.7.B.2,Draw informal comparative inferences about two populations.
PA Core - Mathematics,Math,7,"Measurement, Data, and Probability",CC.2.4.7.B.3,"Investigate chance processes and develop, use, and evaluate probability models."
PA Core - Mathematics,Math,8,"Measurement, Data, and Probability",CC.2.4.8.B.1,Analyze and/or interpret bivariate data displayed in multiple representations.
PA Core - Mathematics,Math,8,"Measurement, Data, and Probability",CC.2.4.8.B.2,Understand that patterns of association can be seen in bivariate data utilizing frequencies.
PA Core - Mathematics,Math,9,"Measurement, Data, and Probability",CC.2.4.HS.B.1,"Summarize, represent, and interpret data on a single count or measurement variable."
PA Core - Mathematics,Math,10,"Measurement, Data, and Probability",CC.2.4.HS.B.1,"Summarize, represent, and interpret data on a single count or measurement variable."
PA Core - Mathematics,Math,11,"Measurement, Data, and Probability",CC.2.4.HS.B.1,"Summarize, represent, and interpret data on a single count or measurement variable."
PA Core - Mathematics,Math,12,"Measurement, Data, and Probability",CC.2.4.HS.B.1,"Summarize, represent, and interpret data on a single count or measurement variable."
PA Core - Mathematics,Math,9,"Measurement, Data, and Probability",CC.2.4.HS.B.2,"Summarize, represent, and interpret data on two categorical and quantitative variables."
PA Core - Mathematics,Math,10,"Measurement, Data, and Probability",CC.2.4.HS.B.2,"Summarize, represent, and interpret data on two categorical and quantitative variables."
PA Core - Mathematics,Math,11,"Measurement, Data, and Probability",CC.2.4.HS.B.2,"Summarize, represent, and interpret data on two categorical and quantitative variables."
PA Core - Mathematics,Math,12,"Measurement, Data, and Probability",CC.2.4.HS.B.2,"Summarize, represent, and interpret data on two categorical and quantitative variables."
PA Core - Mathematics,Math,9,"Measurement, Data, and Probability",CC.2.4.HS.B.3,Analyze linear models to make interpretations based on the data.
PA Core - Mathematics,Math,10,"Measurement, Data, and Probability",CC.2.4.HS.B.3,Analyze linear models to make interpretations based on the data.
PA Core - Mathematics,Math,11,"Measurement, Data, and Probability",CC.2.4.HS.B.3,Analyze linear models to make interpretations based on the data.
PA Core - Mathematics,Math,12,"Measurement, Data, and Probability",CC.2.4.HS.B.3,Analyze linear models to make interpretations based on the data.
PA Core - Mathematics,Math,9,"Measurement, Data, and Probability",CC.2.4.HS.B.4,Recognize and evaluate random processes underlying statistical experiments.
PA Core - Mathematics,Math,10,"Measurement, Data, and Probability",CC.2.4.HS.B.4,Recognize and evaluate random processes underlying statistical experiments.
PA Core - Mathematics,Math,11,"Measurement, Data, and Probability",CC.2.4.HS.B.4,Recognize and evaluate random processes underlying statistical experiments.
PA Core - Mathematics,Math,12,"Measurement, Data, and Probability",CC.2.4.HS.B.4,Recognize and evaluate random processes underlying statistical experiments.
PA Core - Mathematics,Math,9,"Measurement, Data, and Probability",CC.2.4.HS.B.5,"Make inferences and justify conclusions based on sample surveys, experiments, and observational studies."
PA Core - Mathematics,Math,10,"Measurement, Data, and Probability",CC.2.4.HS.B.5,"Make inferences and justify conclusions based on sample surveys, experiments, and observational studies."
PA Core - Mathematics,Math,11,"Measurement, Data, and Probability",CC.2.4.HS.B.5,"Make inferences and justify conclusions based on sample surveys, experiments, and observational studies."
PA Core - Mathematics,Math,12,"Measurement, Data, and Probability",CC.2.4.HS.B.5,"Make inferences and justify conclusions based on sample surveys, experiments, and observational studies."
PA Core - Mathematics,Math,9,"Measurement, Data, and Probability",CC.2.4.HS.B.6,Use the concepts of independence and conditional probability to interpret data.
PA Core - Mathematics,Math,10,"Measurement, Data, and Probability",CC.2.4.HS.B.6,Use the concepts of independence and conditional probability to interpret data.
PA Core - Mathematics,Math,11,"Measurement, Data, and Probability",CC.2.4.HS.B.6,Use the concepts of independence and conditional probability to interpret data.
PA Core - Mathematics,Math,12,"Measurement, Data, and Probability",CC.2.4.HS.B.6,Use the concepts of independence and conditional probability to interpret data.
PA Core - Mathematics,Math,9,"Measurement, Data, and Probability",CC.2.4.HS.B.7,Apply the rules of probability to compute probabilities of compound events in a uniform probability model.
PA Core - Mathematics,Math,10,"Measurement, Data, and Probability",CC.2.4.HS.B.7,Apply the rules of probability to compute probabilities of compound events in a uniform probability model.
PA Core - Mathematics,Math,11,"Measurement, Data, and Probability",CC.2.4.HS.B.7,Apply the rules of probability to compute probabilities of compound events in a uniform probability model.
PA Core - Mathematics,Math,12,"Measurement, Data, and Probability",CC.2.4.HS.B.7,Apply the rules of probability to compute probabilities of compound events in a uniform probability model.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,K,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,1,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,2,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,3,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,4,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,5,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,6,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,7,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,8,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,9,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,10,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,11,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,12,Mathematical Practice,,Make sense of problems and persevere in solving them.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,K,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,1,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,2,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,3,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,4,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,5,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,6,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,7,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,8,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,9,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,10,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,11,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,12,Mathematical Practice,,Construct viable arguments and critique the reasoning of others.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,K,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,1,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,2,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,3,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,4,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,5,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,6,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,7,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,8,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,9,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,10,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,11,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,12,Mathematical Practice,,Use appropriate tools strategically.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,K,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,1,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,2,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,3,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,4,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,5,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,6,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,7,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,8,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,9,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,10,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,11,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,12,Mathematical Practice,,Look for and make use of structure.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,K,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,1,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,2,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,3,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,4,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,5,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,6,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,7,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,8,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,9,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,10,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,11,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,12,Mathematical Practice,,Reason abstractly and quantitatively.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,K,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,1,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,2,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,3,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,4,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,5,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,6,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,7,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,8,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,9,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,10,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,11,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,12,Mathematical Practice,,Model with mathematics.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,K,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,1,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,2,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,3,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,4,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,5,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,6,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,7,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,8,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,9,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,10,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,11,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,12,Mathematical Practice,,Attend to precision.
PA Core - Mathematics,Math,PreK,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,K,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,1,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,2,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,3,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,4,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,5,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,6,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,7,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,8,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,9,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,10,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,11,Mathematical Practice,,Look for and express regularity in repeated reasoning.
PA Core - Mathematics,Math,12,Mathematical Practice,,Look for and express regularity in repeated reasoning.
