Standard,Subject,Grade,Strand,Standard Number,Description,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.4.6),"With some guidance and support, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of one page in a single sitting.",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.6),"Use technology, including the Internet, to produce and publish writing and link to and cite sources as well as to interact and collaborate with others, including linking to and citing sources.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W.9-10.6),"Use technology, including the Internet, to produce, publish, and update individual or shared writing products, taking advantage of technology’s capacity to link to other information and to display information flexibly and dynamically",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR Anchor 7,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation",
College and Career Readiness Standards for ELA and Literacy,English,A,Writing,CCR  (W.1.7),"Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions).",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.7),Conduct short research projects that build knowledge about a topic,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.7),Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.7),"Conduct short research projects to answer a question, drawing on several sources and generating additional related, focused questions for further research and investigation",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.11-12.7),"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR  Anchor 8,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",
College and Career Readiness Standards for ELA and Literacy,English,A,Writing,CCR  (W.1.8),"With guidance and support, recall information from experiences or gather information from provided sources to answer a question.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.8),Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.8),"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.8),"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/whst.9-10.8),"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the usefulness of each source in answering the research question; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and following a standard format for citation",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR Anchor 9,"Draw evidence from literary or informational texts to support analysis, reflection, and research",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.9),"Draw evidence from literary or informational texts to support analysis, reflection, and research.",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.9) a.,"Apply Reading standards from this level to literature (e.g., “Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text”)",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.9) b.,"Apply Reading standards from this level to informational text (e.g., “Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point(s)”)",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.9),"Draw evidence from literary or informational texts to support analysis, reflection, and research.",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.9) a.,"Apply Reading standards from this level to literature (e.g., “Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments”).",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.9) b.,"Apply Reading standards from this level to literary nonfiction (e.g., “Analyze how a text makes connections among and distinctions between individuals’ ideas or events”)",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.11-12.9),"Draw evidence from literary or informational texts to support analysis, reflection, and research.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.11-12.9) a.,"Apply Reading standards from this level to literature (e.g., “Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the cumulative impact of specific word choices on meaning and tone”).",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.11-12.9) b.,"Apply Reading standards from this level to literary nonfiction (e.g., “Integrate quantitative or technical analysis with qualitative analysis in print or digital text”).",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR Anchor 1,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.1.1),Participate in collaborative conversations with diverse partners in small and larger groups.,
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.1.1) a.,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.1.1) b.,Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.,
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.1.1) c.,Ask questions to clear up any confusion about the topics and texts under discussion,
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.1),"Engage effectively in a range of collaborative discussions (oneon-one, in groups, and teacherled) with diverse partners, building on others’ ideas and expressing their own clearly",
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.1) a.,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.1) b.,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).",
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.1) c.,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others.",
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.1) d.,Explain their own ideas and understanding in light of the discussion.,
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.1),"Engage effectively in a range of collaborative discussions (oneon-one, in groups, and teacherled) with diverse partners, building on others’ ideas and expressing their own clearly.",
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.1) a.,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.1) b.,Follow agreed-upon rules for discussions and carry out assigned roles.,
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.1) c.,Pose and respond to specific questions by making comments that contribute to the discussion and elaborate on the remarks of others,
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.1) d.,Review the key ideas expressed and draw conclusions in light of information and knowledge gained from the discussions.,
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.1),"Engage effectively in a range of collaborative discussions (oneon-one, in groups, and teacherled) with diverse partners, building on others’ ideas and expressing their own clearly",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.1) a.,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion.",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.1) b.,"Follow rules for collegial discussions and decisionmaking, track progress toward specific goals and deadlines, and define individual roles as needed.",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.1) c.,"Pose questions that connect the ideas of several speakers and respond to others’ questions and comments with relevant evidence, observations, and ideas.",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.1) d.,"Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.9-10.1),"Initiate and participate effectively in a range of collaborative discussions (oneon-one, in groups, and teacherled) with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.9-10.1) a.,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas.",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.9-10.1) b.,"Work with peers to set rules for collegial discussions and decision-making (e.g., informal consensus, taking votes on key issues, presentation of alternate views), clear goals and deadlines, and individual roles as needed",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.9-10.1) c.,"Propel conversations by posing and responding to questions that relate the current discussion to broader themes or larger ideas; actively incorporate others into the discussion; and clarify, verify, or challenge ideas and conclusions.",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.9-10.1) d.,"Respond thoughtfully to diverse perspectives, summarize points of agreement and disagreement, and, when warranted, qualify or justify their own views and understanding and make new connections in light of the evidence and reasoning presented",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Speaking and Listening,CCR Anchor 2,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.K.2),Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood,
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.2),"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.4.2),"Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally",
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.2),"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.2),"Analyze the purpose of information presented in diverse media and formats (e.g., visually, quantitatively, orally) and evaluate the motives (e.g., social, commercial, political) behind its presentation.",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.11-12.2),"Integrate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, orally) in order to make informed decisions and solve problems, evaluating the credibility and accuracy of each source and noting any discrepancies among the data",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Speaking and Listening,CCR Anchor 3,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.K.3),"Ask and answer questions in order to seek help, get information, or clarify something that is not understood",
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.3),"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.",
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.3),Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.3),"Delineate a speaker’s argument and specific claims, evaluating the soundness of the reasoning and relevance and sufficiency of the evidence and identifying when irrelevant evidence is introduced.",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.11-12.3),"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, assessing the stance, premises, links among ideas, word choice, points of emphasis, and tone used",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Speaking and Listening,CCR Anchor 4,": Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audienc",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.1.4),"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly",
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.4),"Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace",
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.4),"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.4),"Present claims and findings, emphasizing salient points in a focused, coherent manner with relevant evidence, sound valid reasoning, and well-chosen details; use appropriate eye contact, adequate volume, and clear pronunciation",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.9-10.4),"Present information, findings, and supporting evidence clearly, concisely, and logically such that listeners can follow the line of reasoning and the organization, development, substance, and style are appropriate to purpose, audience, and task.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Speaking and Listening,CCR,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations,
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.5.5),"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.5),"Integrate multimedia and visual displays into presentations to clarify information, strengthen claims and evidence, and add interest.",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.11-12.5),"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Speaking and Listening,CCR Anchor 6,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.K.6),"Speak audibly and express thoughts, feelings, and ideas clearly",
College and Career Readiness Standards for ELA and Literacy,English,A,Speaking and Listening,CCR  (SL.1.6),Produce complete sentences when appropriate to task and situation.,
College and Career Readiness Standards for ELA and Literacy,English,B,Speaking and Listening,CCR  (SL.3.6),Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification,
College and Career Readiness Standards for ELA and Literacy,English,C,Speaking and Listening,CCR  (SL.4.6),"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion); use formal English when appropriate to task and situation.",
College and Career Readiness Standards for ELA and Literacy,English,D,Speaking and Listening,CCR  (SL.8.6),"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",
College and Career Readiness Standards for ELA and Literacy,English,E,Speaking and Listening,CCR  (SL.11-12.6),"Adapt speech to a variety of contexts and tasks, demonstrating a command of formal English when indicated or appropriate",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Language,CCR Anchor 1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge),Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) a.,Print all upper- and lowercase letters.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) b.,"Use common, proper, and possessive nouns.",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) c.,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) d.,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything)",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) e.,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home)",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) f.,Use frequently occurring adjectives.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) g.,Use frequently occurring nouns and verbs.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) h.,"Use frequently occurring conjunctions (e.g., and, but, or, so, because).",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) i.,"Use determiners (e.g., articles, demonstratives)",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) j.,"Use frequently occurring prepositions (e.g., during, beyond, toward)",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) k.,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how).",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.1 and 1.1 merge) l.,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts. (L.K.1 and 1.1 merge)",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge),Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) a.,"Use collective nouns (e.g., group).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) b.,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) c.,Form and use regular and irregular plural nouns.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) d.,"Use reflexive pronouns (e.g., myself, ourselves).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) e.,"Form and use the past tense of frequently occuring irregular verbs (e.g., sat, hid, told).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) f.,"Use abstract nouns (e.g., childhood).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) g.,Form and use regular and irregular verbs.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) h.,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses.",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) i.,Ensure subject-verb and pronoun-antecedent agreement.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) j.,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) k.,Use coordinating and subordinating conjunctions,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) l.,"Produce simple, compound, and complex sentences",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.1 and 3.1 merge) m.,"Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy)",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge),Demonstrate commands of the conventions of standard English grammar and usage when writing or speaking.,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) a.,"Explain the function of conjunctions, prepositions, and interjections in general and their function in particular sentences.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) b.,"Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why).",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) c.,"Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) d.,"Use modal auxiliaries (eg. can, may, must) to convey various conditions",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) e.,"Form and use the perfect (e.g., I had walked; I have walked; I will have walked) verb tenses",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) f.,"Use verb tense to convey various times, sequences, states, and conditions",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) g.,Recognize and correct inappropriate shifts in verb tense.,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) h.,"Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag)",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) i.,Form and use prepositional phrases,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) j.,"Use correlative conjunctions (e.g., either/or, neither/nor).",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) k.,"Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.1 and 5.1 merge) l.,"Correctly use frequently confused words (e.g., to, too, two; there, their)",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge),Demonstrate command of the conventions of standard English grammar and usage when writing or speaking,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) a.,"Ensure that pronouns are in the proper case (subjective, objective, possessive).",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) b.,Use intensive pronouns.,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) c.,Recognize and correct inappropriate shifts in pronoun number and person.,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) d.,Recognize and correct vague or unclear pronouns,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) e.,"Recognize variations from standard English in their own and others' writing and speaking, and identify and use strategies to improve expression in conventional language.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) f.,"Explain the function of verbals (gerunds, participles, infinitives) in general and their function in particular sentences.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) g.,Form and use verbs in the active and passive voice.,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) h.,"Form and use verbs in the indicative, imperative, interrogative, conditional, and subjunctive mood.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) i.,Recognize and correct inappropriate shifts in verb voice and mood.,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) j.,Explain the function of phrases and clauses in general and their function in specific sentences.,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) k.,"Choose among simple, compound, complex, and compound-complex sentences to signal differing relationships among ideas.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.1 and 8.1 merge) l.,"Place phrases and clauses within a sentence, recognizing and correcting misplaced and dangling modifiers",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Language,CCR Anchor 2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge),"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) a.,Capitalize the first word in a sentence and the pronoun I.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) b.,Capitalize dates and names of people.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) c.,Recognize and name end punctuation.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) d.,Use end punctuation for sentences.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) e.,Use commas in dates and to separate single words in a series.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) f.,Write a letter or letters for most consonant and shortvowel sounds (phonemes).,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) g.,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships.",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) h.,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.,
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.K.2 and 1.2 merge) i.,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge),"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) a.,"Capitalize holidays, product names, and geographic names",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) b.,Capitalize appropriate words in titles.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) c.,Use commas in greetings and closings of letters.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) d.,Use commas in addresses,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) e.,Use commas and quotation marks in dialogue,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR (L.2.2 and 3.2 merge) f.,Use an apostrophe to form contractions and frequently occurring possessives,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR (L.2.2 and 3.2 merge) g.,Form and use possessives,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) h.,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) i.,"Generalize learned spelling patterns when writing words (e.g., cage → badge; boy → boil).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) j.,"Use spelling patterns and generalizations (e.g., word families, positionbased spellings, syllable patterns, ending rules, meaningful word parts) in writing words",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.2 and 3.2 merge) k.,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",
