Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,6,Expressions & Equations,6.EE.B,Reason about and solve one-variable equations and inequalities.,,,,
Iowa Core Standards: Math,Math,6,Expressions & Equations,6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",,,,
Iowa Core Standards: Math,Math,6,Expressions & Equations,6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",,,,
Iowa Core Standards: Math,Math,6,Expressions & Equations,6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.",,,,
Iowa Core Standards: Math,Math,6,Expressions & Equations,6.EE.B.8,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,,,,
Iowa Core Standards: Math,Math,6,Expressions & Equations,6.EE.C,Represent and analyze quantitative relationships between dependent and independent variables.,,,,
Iowa Core Standards: Math,Math,6,Expressions & Equations,6.EE.C.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.A,Use properties of operations to generate equivalent expressions.,,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.A.1,"Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.",,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.A.2,Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.,,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.B,Solve real-life and mathematical problems using numerical and algebraic expressions and equations.,,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.B.3,"Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimation strategies.",,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.B.4,"Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities.",,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.B.4a,"Solve word problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these forms fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach.",,,,
Iowa Core Standards: Math,Math,7,Expressions & Equations,7.EE.B.4b,"Solve word problems leading to inequalities of the form px + q > r or px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality and interpret it in the context of the problem.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.A,Work with radicals and integer exponents.,,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.A.1,Know and apply the properties of integer exponents to generate equivalent numerical expressions.,,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.A.2,"Use square root and cube root symbols to represent solutions to equations of the form x² = p and x³ = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that √2 is irrational.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.A.3,"Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.A.4,"Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.B,"Understand the connections between proportional relationships, lines, and linear equations.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.B.5,"Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.B.6,Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b.,,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C,Analyze and solve linear equations and pairs of simultaneous linear equations.,,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C.7,Solve linear equations in one variable.,,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C.7a,"Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers).",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C.7b,"Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C.8,Analyze and solve pairs of simultaneous linear equations.,,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C.8a,"Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C.8b,"Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection.",,,,
Iowa Core Standards: Math,Math,8,Expressions & Equations,8.EE.C.8c,Solve real-world and mathematical problems leading to two linear equations in two variables.,,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.A,Develop understanding of statistical variability.,,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.A.1,Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.,,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.A.2,"Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape.",,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.A.3,"Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number.",,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.B,Summarize and describe distributions.,,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.B.4,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots.",,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.B.5,"Summarize numerical data sets in relation to their context, such as by:",,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.B.5a,Reporting the number of observations.,,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.B.5b,"Describing the nature of the attribute under investigation, including how it was measured and its units of measurement.",,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.B.5c,"Giving quantitative measures of center (median and/or mean) and variability (interquartile range and/or mean absolute deviation), as well as describing any overall pattern and any striking deviations from the overall pattern with reference to the context in which the data were gathered.",,,,
Iowa Core Standards: Math,Math,6,Statistics & Probability,6.SP.B.5d,Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered.,,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.A,Use random sampling to draw inferences about a population.,,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.A.1,Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.,,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.A.2,Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions.,,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.B,Draw informal comparative inferences about two populations.,,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.B.3,"Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.B.4,Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations.,,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C,"Investigate chance processes and develop, use, and evaluate probability models.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.5,"Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.6,"Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.7,"Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.7a,"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.7b,Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process.,,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.8,"Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.8a,"Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs.",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.8b,"Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language (e.g., rolling double sixes"")",,,,
Iowa Core Standards: Math,Math,7,Statistics & Probability,7.SP.C.8c,Design and use a simulation to generate frequencies for compound events.,,,,
Iowa Core Standards: Math,Math,8,Statistics & Probability,8.SP.A,Investigate patterns of association in bivariate data.,,,,
Iowa Core Standards: Math,Math,8,Statistics & Probability,8.SP.A.1,"Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.",,,,
Iowa Core Standards: Math,Math,8,Statistics & Probability,8.SP.A.2,"Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line.",,,,
Iowa Core Standards: Math,Math,8,Statistics & Probability,8.SP.A.3,"Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept.",,,,
Iowa Core Standards: Math,Math,8,Statistics & Probability,8.SP.A.4,Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables.,,,,
Iowa Core Standards: Math,Math,8,Functions,8.F.A,"Define, evaluate, and compare functions.",,,,
Iowa Core Standards: Math,Math,8,Functions,8.F.A.1,Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.,,,,
Iowa Core Standards: Math,Math,8,Functions,8.F.A.2,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",,,,
Iowa Core Standards: Math,Math,8,Functions,8.F.A.3,"Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear.",,,,
Iowa Core Standards: Math,Math,8,Functions,8.F.B,Use functions to model relationships between quantities.,,,,
Iowa Core Standards: Math,Math,8,Functions,8.F.B.4,"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",,,,
Iowa Core Standards: Math,Math,8,Functions,8.F.B.5,"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally.",,,,
Iowa Core Standards: Math,Math,9,The Real Number System,HSN.RN.A,Extend the properties of exponents to rational exponents.,,,,
Iowa Core Standards: Math,Math,10,The Real Number System,HSN.RN.A,Extend the properties of exponents to rational exponents.,,,,
Iowa Core Standards: Math,Math,11,The Real Number System,HSN.RN.A,Extend the properties of exponents to rational exponents.,,,,
Iowa Core Standards: Math,Math,12,The Real Number System,HSN.RN.A,Extend the properties of exponents to rational exponents.,,,,
Iowa Core Standards: Math,Math,9,The Real Number System,HSN.RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents.",,,,
Iowa Core Standards: Math,Math,10,The Real Number System,HSN.RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents.",,,,
Iowa Core Standards: Math,Math,11,The Real Number System,HSN.RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents.",,,,
Iowa Core Standards: Math,Math,12,The Real Number System,HSN.RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents.",,,,
Iowa Core Standards: Math,Math,9,The Real Number System,HSN.RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,,,,
Iowa Core Standards: Math,Math,10,The Real Number System,HSN.RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,,,,
Iowa Core Standards: Math,Math,11,The Real Number System,HSN.RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,,,,
Iowa Core Standards: Math,Math,12,The Real Number System,HSN.RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,,,,
Iowa Core Standards: Math,Math,9,The Real Number System,HSN.RN.B,Use properties of rational and irrational numbers.,,,,
Iowa Core Standards: Math,Math,10,The Real Number System,HSN.RN.B,Use properties of rational and irrational numbers.,,,,
Iowa Core Standards: Math,Math,11,The Real Number System,HSN.RN.B,Use properties of rational and irrational numbers.,,,,
Iowa Core Standards: Math,Math,12,The Real Number System,HSN.RN.B,Use properties of rational and irrational numbers.,,,,
Iowa Core Standards: Math,Math,9,The Real Number System,HSN.RN.B.3,Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.,,,,
Iowa Core Standards: Math,Math,10,The Real Number System,HSN.RN.B.3,Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.,,,,
Iowa Core Standards: Math,Math,11,The Real Number System,HSN.RN.B.3,Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.,,,,
Iowa Core Standards: Math,Math,12,The Real Number System,HSN.RN.B.3,Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.,,,,
Iowa Core Standards: Math,Math,9,Quantities,HSN.Q.A,Reason quantitatively and use units to solve problems.,,,,
Iowa Core Standards: Math,Math,10,Quantities,HSN.Q.A,Reason quantitatively and use units to solve problems.,,,,
Iowa Core Standards: Math,Math,11,Quantities,HSN.Q.A,Reason quantitatively and use units to solve problems.,,,,
Iowa Core Standards: Math,Math,12,Quantities,HSN.Q.A,Reason quantitatively and use units to solve problems.,,,,
Iowa Core Standards: Math,Math,9,Quantities,HSN.Q.A.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,,,,
Iowa Core Standards: Math,Math,10,Quantities,HSN.Q.A.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,,,,
Iowa Core Standards: Math,Math,11,Quantities,HSN.Q.A.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,,,,
Iowa Core Standards: Math,Math,12,Quantities,HSN.Q.A.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,,,,
Iowa Core Standards: Math,Math,9,Quantities,HSN.Q.A.2,Define appropriate quantities for the purpose of descriptive modeling.,,,,
Iowa Core Standards: Math,Math,10,Quantities,HSN.Q.A.2,Define appropriate quantities for the purpose of descriptive modeling.,,,,
Iowa Core Standards: Math,Math,11,Quantities,HSN.Q.A.2,Define appropriate quantities for the purpose of descriptive modeling.,,,,
Iowa Core Standards: Math,Math,12,Quantities,HSN.Q.A.2,Define appropriate quantities for the purpose of descriptive modeling.,,,,
Iowa Core Standards: Math,Math,9,Quantities,HSN.Q.A.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,,,,
Iowa Core Standards: Math,Math,10,Quantities,HSN.Q.A.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,,,,
Iowa Core Standards: Math,Math,11,Quantities,HSN.Q.A.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,,,,
Iowa Core Standards: Math,Math,12,Quantities,HSN.Q.A.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.3,"Understand, analyze, apply, and evaluate some common voting and analysis methods in addition to majority and plurality, such as runoff, approval, the so-called instant-runoff voting (IRV) method, the Borda method and the Condorcet method.",,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.3,"Understand, analyze, apply, and evaluate some common voting and analysis methods in addition to majority and plurality, such as runoff, approval, the so-called instant-runoff voting (IRV) method, the Borda method and the Condorcet method.",,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.3,"Understand, analyze, apply, and evaluate some common voting and analysis methods in addition to majority and plurality, such as runoff, approval, the so-called instant-runoff voting (IRV) method, the Borda method and the Condorcet method.",,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.3,"Understand, analyze, apply, and evaluate some common voting and analysis methods in addition to majority and plurality, such as runoff, approval, the so-called instant-runoff voting (IRV) method, the Borda method and the Condorcet method.",,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.4,"(+) Describe the role of mathematics in information processing, particularly with respect to the Internet.",,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.4,"(+) Describe the role of mathematics in information processing, particularly with respect to the Internet.",,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.4,"(+) Describe the role of mathematics in information processing, particularly with respect to the Internet.",,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.4,"(+) Describe the role of mathematics in information processing, particularly with respect to the Internet.",,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.5,(+) Understand and apply elementary set theory and logic as used in simple Internet searches.,,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.5,(+) Understand and apply elementary set theory and logic as used in simple Internet searches.,,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.5,(+) Understand and apply elementary set theory and logic as used in simple Internet searches.,,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.5,(+) Understand and apply elementary set theory and logic as used in simple Internet searches.,,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.6,"(+) Understand and apply basic number theory, including modular arithmetic, for example, as used in keeping information secure through public-key cryptography.",,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.6,"(+) Understand and apply basic number theory, including modular arithmetic, for example, as used in keeping information secure through public-key cryptography.",,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.6,"(+) Understand and apply basic number theory, including modular arithmetic, for example, as used in keeping information secure through public-key cryptography.",,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.6,"(+) Understand and apply basic number theory, including modular arithmetic, for example, as used in keeping information secure through public-key cryptography.",,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.A,Perform arithmetic operations with complex numbers.,,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.A,Perform arithmetic operations with complex numbers.,,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.A,Perform arithmetic operations with complex numbers.,,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.A,Perform arithmetic operations with complex numbers.,,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.A.1,"Know there is a complex number i such that i² = -1, and every complex number has the form a + bi with a and b real.",,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.A.1,"Know there is a complex number i such that i² = -1, and every complex number has the form a + bi with a and b real.",,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.A.1,"Know there is a complex number i such that i² = -1, and every complex number has the form a + bi with a and b real.",,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.A.1,"Know there is a complex number i such that i² = -1, and every complex number has the form a + bi with a and b real.",,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.A.2,"Use the relation i² = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.",,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.A.2,"Use the relation i² = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.",,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.A.2,"Use the relation i² = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.",,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.A.2,"Use the relation i² = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.",,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.A.3,(+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.,,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.A.3,(+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.,,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.A.3,(+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.,,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.A.3,(+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.,,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.B,Represent complex numbers and their operations on the complex plane.,,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.B,Represent complex numbers and their operations on the complex plane.,,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.B,Represent complex numbers and their operations on the complex plane.,,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.B,Represent complex numbers and their operations on the complex plane.,,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.B.4,"(+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.",,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.B.4,"(+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.",,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.B.4,"(+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.",,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.B.4,"(+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.",,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.B.5,"(+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation.",,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.B.5,"(+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation.",,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.B.5,"(+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation.",,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.B.5,"(+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation.",,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.B.6,"(+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.",,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.B.6,"(+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.",,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.B.6,"(+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.",,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.B.6,"(+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.",,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.C,Use complex numbers in polynomial identities and equations.,,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.C,Use complex numbers in polynomial identities and equations.,,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.C,Use complex numbers in polynomial identities and equations.,,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.C,Use complex numbers in polynomial identities and equations.,,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.C.7,Solve quadratic equations with real coefficients that have complex solutions.,,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.C.7,Solve quadratic equations with real coefficients that have complex solutions.,,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.C.7,Solve quadratic equations with real coefficients that have complex solutions.," identify the outcomes in the sample space which compose the event.""",,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.C.7,Solve quadratic equations with real coefficients that have complex solutions.,,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.C.8,(+) Extend polynomial identities to the complex numbers.,,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.C.8,(+) Extend polynomial identities to the complex numbers.,,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.C.8,(+) Extend polynomial identities to the complex numbers.,,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.C.8,(+) Extend polynomial identities to the complex numbers.,,,,
Iowa Core Standards: Math,Math,9,The Complex Number System,HSN.CN.C.9,(+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.,,,,
Iowa Core Standards: Math,Math,10,The Complex Number System,HSN.CN.C.9,(+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.,,,,
Iowa Core Standards: Math,Math,11,The Complex Number System,HSN.CN.C.9,(+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.,,,,
Iowa Core Standards: Math,Math,12,The Complex Number System,HSN.CN.C.9,(+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.,,,,
