Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Measurement & Data,5.MD.5,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Measurement & Data,5.MD.5.a,"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the Associative Property of Multiplication.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Measurement & Data,5.MD.5.b,Apply the formulas V = l × w × h and V = B × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real-world and mathematical problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Measurement & Data,5.MD.5.c,"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real-world problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.A,"Develop understanding of fractions as numbers. Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.1,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.2,Understand a fraction as a number on the number line; represent fractions on a number line diagram.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.2.a,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.2.b,Represent a fraction a/b (which may be greater than 1) on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.3.a,Understand two fractions as equivalent (equal) if they are the same size or the same point on a number line.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.3.b,"Recognize and generate simple equivalent fractions, e.g., ½ = 2/4, 4/6 = 2/3. Explain why the fractions are equivalent, e.g., by using a visual fraction model.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.3.c,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Number & Operations - Fractions,3.NF.3.d,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.A,"Extend understanding of fraction equivalence and ordering limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.1,"Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.2,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as ½. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.B,"Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100. (Fractions need not be simplified).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.3,Understand a fraction a/b with a > 1 as a sum of fractions 1/b.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.3.a,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.3.b,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.3.c,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.3.d,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.4.a,Understand a fraction a/b as a multiple of 1/b.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.4.b,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.4.c,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.C,"Understand decimal notation for fractions, and compare decimal fractions limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.5,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.6,Use decimal notation for fractions with denominators 10 or 100.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Number & Operations - Fractions,4.NF.7,"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual model.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.A,Use equivalent fractions as a strategy to add and subtract fractions. (Fractions need not be simplified).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.1,Add and subtract fractions with unlike denominators (including mixed numbers and fractions greater than 1) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.2,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.B,Apply and extend previous understandings of multiplication and division to multiply and divide fractions. (Fractions need not be simplified).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.3,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.4.a,"Interpret the product (a/b) × q as a parts of a partition of q into b equal parts, equivalently, as the result of a sequence of operations a × q ÷ b.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.4.b,"Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.5,Interpret multiplication as scaling (resizing).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.5.a,"Compare the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.5.b,Explain why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence a/b = (n×a)/(n×b) to the effect of multiplying a/b by 1.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.6,"Solve real-world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.7,"Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions. In general, students able to multiply fractions can develop strategies to divide fractions, by reasoning about the relationship between multiplication and division, but division of a fraction by a fraction is not a requirement at this grade.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.7.a,"Interpret division of a unit fraction by a non-zero whole number, and compute such quotients.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.7.b,"Interpret division of a whole number by a unit fraction, and compute such quotients.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Number & Operations - Fractions,5.NF.7.c,"Solve real-world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.A,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.1,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.2,Correctly name shapes regardless of their orientations or overall size.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.3,"Identify shapes as two-dimensional (lying in a plane, flat"") or three-dimensional (""solid"").""",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.B,"Describe, compare, create, and compose shapes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.4,"Describe and compare two- or three-dimensional shapes, in different sizes and orientations, using informal language to describe their commonalities, differences, parts, and other attributes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.5,"Model shapes in the world by building shapes from components, e.g., sticks and clay balls, and drawing shapes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Geometry,K.G.6,Combine simple shapes to form larger shapes.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Geometry,1.G.A,Reason with shapes and their attributes.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Geometry,1.G.1,"Distinguish between defining attributes, e.g., triangles are closed and three-sided, versus non-defining attributes, e.g., color, orientation, overall size; build and draw shapes that possess defining attributes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Geometry,1.G.2,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape. Students do not need to learn formal names such as right rectangular prism.""""",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Geometry,1.G.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of or four of the shares in real-world contexts. Understand for these examples that decomposing into more equal shares creates smaller shares.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Geometry,2.G.A,Reason with shapes and their attributes.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Geometry,2.G.1,"Recognize and identify triangles, quadrilaterals, pentagons, and hexagons based on the number of sides or vertices. Recognize and identify cubes, rectangular prisms, cones, and cylinders.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Geometry,2.G.2,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Geometry,2.G.3,"Partition circles and rectangles into two, three, or four equal shares; describe the shares using the words halves, thirds, or fourths and quarters, and use the phrases half of, third of, or fourth of and quarter of. Describe the whole as two halves, three thirds, or four fourths in real-world contexts. Recognize that equal shares of identical wholes need not have the same shape.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Geometry,3.G.A,Reason with shapes and their attributes.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Geometry,3.G.1,"Draw and describe triangles, quadrilaterals (rhombuses, rectangles, and squares), and polygons (up to 8 sides) based on the number of sides and the presence or absence of square corners (right angles).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Geometry,3.G.2,Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Geometry,4.G.A,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Geometry,4.G.1,"Draw points, lines, line segments, rays, angles (right, acute, and obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Geometry,4.G.2,Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines or the presence or absence of angles of a specified size.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Geometry,5.G.A,Graph points on the coordinate plane to solve real-world and mathematical problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Geometry,5.G.1,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond, e.g., x-axis and x-coordinate, y-axis and y-coordinate.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Geometry,5.G.2,"Represent real-world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Geometry,5.G.B,Classify two-dimensional figures into categories based on their properties.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Geometry,5.G.3,"Identify and describe commonalities and differences between types of triangles based on angle measures (equiangular, right, acute, and obtuse triangles) and side lengths (isosceles, equilateral, and scalene triangles).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Geometry,5.G.4,"Identify and describe commonalities and differences between types of quadrilaterals based on angle measures, side lengths, and the presence or absence of parallel and perpendicular lines, e.g., squares, rectangles, parallelograms, trapezoids, and rhombuses.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Geometry,6.G.A,"Solve real-world and mathematical problems involving area, surface area, and volume.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Geometry,6.G.1,"Through composition into rectangles or decomposition into triangles, find the area of right triangles, other triangles, special quadrilaterals, and polygons; apply these techniques in the context of solving real-world and mathematical problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Geometry,6.G.2,"Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = l × w × h and V = B × h to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Geometry,6.G.3,Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Geometry,6.G.4,"Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.A,"Draw, construct, and describe geometrical figures and describe the relationships between them.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.1,"Solve problems involving similar figures with right triangles, other triangles, and special quadrilaterals.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.1.a,Compute actual lengths and areas from a scale drawing and reproduce a scale drawing at a different scale.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.1.b,Represent proportional relationships within and between similar figures.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.2,"Draw (freehand, with ruler and protractor, and with technology) geometric figures with given conditions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.2.a,"Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.2.b,Focus on constructing quadrilaterals with given conditions noticing types and properties of resulting quadrilaterals and whether it is possible to construct different quadrilaterals using the same conditions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.3,"Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.B,"Solve real-life and mathematical problems involving angle measure, circles, area, surface area, and volume.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.4,Work with circles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.4.a,"Explore and understand the relationships among the circumference, diameter, area, and radius of a circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.4.b,Know and use the formulas for the area and circumference of a circle and use them to solve real-world and mathematical problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.5,"Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Geometry,7.G.6,"Solve real-world and mathematical problems involving area, volume, and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.A,"Understand congruence and similarity using physical models, transparencies, or geometry software.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.1,"Verify experimentally the properties of rotations, reflections, and translations (include examples both with and without coordinates).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.1.a,"Lines are taken to lines, and line segments are taken to line segments of the same length.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.1.b,Angles are taken to angles of the same measure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.1.c,Parallel lines are taken to parallel lines.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them. (Include examples both with and without coordinates.)",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them. (Include examples both with and without coordinates.)",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.B,Understand and apply the Pythagorean Theorem.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.6,Analyze and justify an informal proof of the Pythagorean Theorem and its converse.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.8,Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.C,"Solve real-world and mathematical problems involving volume of cylinders, cones, and spheres.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Geometry,8.G.9,"Solve real-world and mathematical problems involving volumes of cones, cylinders, and spheres.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.A,Understand ratio concepts and use ratio reasoning to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.1,Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.2,"Understand the concept of a unit rate a/b associated with a ratio a:b with b ≠ 0, and use rate language in the context of a ratio relationship.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.3,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.3.a,Make tables of equivalent ratios relating quantities with whole-number measurements; find missing values in the tables; and plot the pairs of values on the coordinate plane. Use tables to compare ratios.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.3.b,Solve unit rate problems including those involving unit pricing and constant speed.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.3.c,"Find a percent of a quantity as a rate per 100, e.g., 30% of a quantity means 30/100 times the quantity; solve problems involving finding the whole, given a part and the percent.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Ratios & Proportional Relationships,6.RP.3.d,Use ratio reasoning to convert measurement units; manipulate and transform units appropriately when multiplying or dividing quantities.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.A,Analyze proportional relationships and use them to solve real-world and mathematical problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas, and other quantities measured in like or different units.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.2,Recognize and represent proportional relationships between quantities.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.2.a,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.2.b,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.2.c,Represent proportional relationships by equations.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.2.d,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Ratios & Proportional Relationships,7.RP.3,Use proportional relationships to solve multi-step ratio and percent problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,The Number System,6.NS.A,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,The Number System,6.NS.1,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,The Number System,6.NS.B,Compute fluently with multi-digit numbers and find common factors and multiples.,,,,,,,,,,,,,,,,,,,,,,,,
