Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.5,"Analyze in detail how an author's ideas or claims are developed and refined by particular sentences, paragraphs, or larger portions of a text (e.g., a section or chapter).",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.6,Determine an author's perspective or purpose in a text and analyze how an author uses rhetoric to advance that point of view or purpose.,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.6,Determine an author's perspective or purpose in a text and analyze how an author uses rhetoric to advance that point of view or purpose.,,,,,,
Ohio ELA Standard,English,11,Reading Standards for Informational Text,RI.11-12.4,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10).",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Informational Text,RI.11-12.4,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10).",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Informational Text,RI.11-12.5,"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Informational Text,RI.11-12.5,"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Informational Text,RI.11-12.6,"Determine an author's perspective or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness, or beauty of the text.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Informational Text,RI.11-12.6,"Determine an author's perspective or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness, or beauty of the text.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Informational Text,RI.K.7,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts).",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Informational Text,RI.K.8,"With prompting and support, identify the reasons an author gives to support points in a text.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Informational Text,RI.K.9,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.7,Use the illustrations and details in a text to describe its key ideas.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.8,Identify the reasons an author gives to support points in a text.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.9,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.7,"Explain how specific images (e.g., a diagram showing how a machine works) contribute to and clarify a text.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.8,"Identify the main points an author uses in a text and, with support, explain how reasons connect to the main points.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.9,Compare and contrast the most important points presented by two texts on the same topic.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.8,Describe the relationships between the evidence and points an author uses throughout a text.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.7,"Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.8,Explain how an author uses evidence to support particular points in a text.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.9,Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.7,"Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.8,"Explain how an author uses evidence to support particular points in a text, identifying which evidence supports corresponding point(s).",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.9,Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.7,"Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.8,"Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by evidence from claims that are not.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.9,"Compare and contrast one author's presentation of events with that of another (e.g., a memoir written by and a biography on the same person).",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.7,"Compare and contrast a text to an audio, video, or multimedia version of the text, analyzing each medium's portrayal of the subject (e.g., how the delivery of a speech affects the impact of the words).",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.8,"Trace and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient to support the claims.",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.9,Analyze how two or more authors writing about the same topic shape their presentations of key information by emphasizing different evidence or advancing different interpretations of facts,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.7,"Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.8,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.9,Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.,,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.7,"Analyze various accounts of a subject told in different mediums (e.g., a person's life story in both print and multimedia), determining which details are emphasized in each account.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.7,"Analyze various accounts of a subject told in different mediums (e.g., a person's life story in both print and multimedia), determining which details are emphasized in each account.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.8,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.8,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.9,"Analyze seminal U.S. documents of historical and literary significance (e.g., Washington's Farewell Address, the Gettysburg Address, Roosevelt's Four Freedoms speech, King's Letter from Birmingham Jail"")","including how they address related themes and concepts.""",,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.9,"Analyze seminal U.S. documents of historical and literary significance (e.g., Washington's Farewell Address, the Gettysburg Address, Roosevelt's Four Freedoms speech, King's Letter from Birmingham Jail"")","including how they address related themes and concepts.""",,,,,
Ohio ELA Standard,English,11,Reading Standards for Informational Text,RI.11-12.7,"Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Informational Text,RI.11-12.7,"Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Informational Text,RI.11-12.8,"Delineate and evaluate the reasoning in seminal U.S. texts and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses).",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Informational Text,RI.11-12.8,"Delineate and evaluate the reasoning in seminal U.S. texts and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses).",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Informational Text,RI.11-12.9,"Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln's Second Inaugural Address) for their themes, purposes, and rhetorical features.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Informational Text,RI.11-12.9,"Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln's Second Inaugural Address) for their themes, purposes, and rhetorical features.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Informational Text,RI.K.10,Actively engage in group reading activities with purpose and understanding.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.10,"With prompting and support, read informational texts appropriately complex for grade 1.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.10,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 2–3 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2–3 text complexity band independently and proficiently.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.10,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4–5 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 4–5 text complexity band independently and proficiently.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.10,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.10,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.10,"By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6–8 text complexity band independently and proficiently.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.10,"By the end of grade 9, read and comprehend literary nonfiction in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 10, read and comprehend literary nonfiction at the high end of the grades 9–10 text complexity band independently and proficiently.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.10,"By the end of grade 9, read and comprehend literary nonfiction in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 10, read and comprehend literary nonfiction at the high end of the grades 9–10 text complexity band independently and proficiently.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Informational Text,RI.11-12.10,"By the end of grade 11, read and comprehend literary nonfiction in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 12, read and comprehend literary nonfiction at the high end of the grades 11–CCR text complexity band independently and proficiently.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Informational Text,RI.11-12.10,"By the end of grade 11, read and comprehend literary nonfiction in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 12, read and comprehend literary nonfiction at the high end of the grades 11–CCR text complexity band independently and proficiently.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.1,Demonstrate understanding of the organization and basic features of print.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.1.a,"Follow words from left to right, top to bottom, and page by page.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.1.b,Recognize that spoken words are represented in written language by specific sequences of letters.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.1.c,Understand that words are separated by spaces in print.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.1.d,Recognize and name all upper- and lowercase letters of the alphabet.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.1,"Demonstrate understanding of the organization and basic features of print by recognizing the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation).",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.2,"Demonstrate understanding of spoken words, syllables, and phonemes (sounds).",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.2.a,Recognize and produce rhyming words.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.2.b,"Count, pronounce, blend, and segment syllables in spoken words.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.2.c,Blend and segment onsets and rimes of single-syllable spoken words.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.2.d,"Isolate and pronounce the initial, medial vowel, and final phonemes (sounds) in three-phoneme (consonant-vowel-consonant, or CVC) words. (This does not include CVCs ending with /l/, /r/, or /x/.)",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.2.e,"Add or substitute individual phonemes (sounds) in simple, one-syllable words to make new words.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.2,"Demonstrate understanding of spoken words, syllables, and phonemes (sounds).",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.2.a,Distinguish long from short vowel sounds in spoken single-syllable words.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.2.b,"Orally produce single-syllable words by blending phonemes, including consonant blends.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.2.c,"Isolate and pronounce initial, medial vowel, and final phonemes in spoken single-syllable words.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.2.d,Segment spoken single-syllable words into their complete sequence of individual phonemes.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.3,Know and apply grade-level phonics and word analysis skills in decoding words.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.3.a,Demonstrate basic knowledge of one-to-one grapheme (letter)-sound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.3.b,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.3.c,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.3.d,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3,Know and apply grade-level phonics and word analysis skills in decoding words.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3.a,Know the spelling-sound correspondences for common consonant digraphs.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3.b,Decode regularly spelled one-syllable words.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3.c,Know final -e and common vowel team conventions for representing long vowel sounds.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3.d,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3.e,Decode two-syllable words following basic patterns by breaking the words into syllables.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3.f,Read words with inflectional endings.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.3.g,Recognize and read grade-appropriate irregularly spelled words.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.3,Know and apply grade-level phonics and word analysis skills in decoding words.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.3.a,Distinguish long and short vowels when reading regularly spelled one-syllable words.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.3.b,Know spelling-sound correspondences for additional common vowel teams.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.3.c,Decode regularly spelled two-syllable words with long vowels.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.3.d,Decode words with common prefixes and suffixes.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.3.e,Identify words with inconsistent but common spelling-sound correspondences.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.3.f,Recognize and read grade-appropriate irregularly spelled words.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.3,Know and apply grade-level phonics and word analysis skills in decoding words.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.3.a,Identify and know the meaning of the most common prefixes and derivational suffixes.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.3.b,Decode words with common Latin suffixes.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.3.c,Decode multi-syllable words.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.3.d,Read grade-appropriate irregularly spelled words.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Foundational Skills,RF.4.3,"Know and apply grade-level phonics and word analysis skills in decoding words by using combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Foundational Skills,RF.5.3,"Know and apply grade-level phonics and word analysis skills in decoding words by using combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Foundational Skills,RF.K.4,Read emergent-reader texts with purpose and understanding.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.4,Read with sufficient accuracy and fluency to support comprehension.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.4.a,Read grade-level text with purpose and understanding.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.4.b,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Foundational Skills,RF.1.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.4,Read with sufficient accuracy and fluency to support comprehension.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.4.a,Read grade-level text with purpose and understanding.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.4.b,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Foundational Skills,RF.2.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.4,Read with sufficient accuracy and fluency to support comprehension.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.4.a,Read grade-level text with purpose and understanding.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.4.b,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Foundational Skills,RF.3.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Foundational Skills,RF.4.4,Read with sufficient accuracy and fluency to support comprehension.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Foundational Skills,RF.4.4.a,Read grade-level text with purpose and understanding.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Foundational Skills,RF.4.4.b,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Foundational Skills,RF.4.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Foundational Skills,RF.5.4,Read with sufficient accuracy and fluency to support comprehension.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Foundational Skills,RF.5.4.a,Read grade-level text with purpose and understanding.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Foundational Skills,RF.5.4.b,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Foundational Skills,RF.5.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.1,"Use a combination of drawing, dictating, and writing to compose opinion pieces that tell a reader the topic or the name of the book being written about and express an opinion or preference about the topic or book (e.g., My favorite book is…).",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.2,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts that name what is being written about and supply some information about the topic.",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.3,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.1,"Write opinion pieces that introduce the topic or name the book being written about, express an opinion, supply a reason for the opinion, and provide some sense of closure.",,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.2,"Write informative/explanatory texts that name a topic, supply some facts about the topic, and provide some sense of closure.",,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.3,"Write narratives to recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure.",,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.1,"Write opinion pieces that introduce the topic or book being written about, express an opinion, supply reasons that support the opinion, use linking words (e.g., because, and, also) to connect opinion and reasons, and provide a concluding statement or section.",,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.2,"Write informative/explanatory texts that introduce a topic, use facts and definitions to develop points, and provide a concluding statement or section.",,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.3,"Write narratives to recount a well-elaborated event or short sequence of events, include details to describe actions, thoughts, and feelings, use temporal words to signal event order, and provide a sense of closure.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.1.a,"Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.1.b,Provide reasons that support the opinion.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.1.c,"Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.1.d,Provide a concluding statement or section.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.2.a,"Introduce a topic and group related information together; include illustrations to aid comprehension, if needed.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.2.b,"Develop the topic with facts, definitions, and details.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.2.c,"Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.2.d,Provide a concluding statement or section.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.3.a,Establish a situation and introduce a narrator and/or characters; organize an event sequence that unfolds naturally.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.3.b,"Use dialogue and descriptions of actions, thoughts, and feelings to develop experiences and events or show the response of characters to situations.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.3.c,Use temporal words and phrases to signal event order.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.3.d,Provide a sense of closure.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.1.a,"Introduce a topic or text clearly, state an opinion, and create an organizational structure in which related ideas are grouped to support the writer's purpose.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.1.b,Provide reasons that are supported by facts and details.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.1.c,"Link opinion and reasons using words and phrases (e.g., for instance, in order to, in addition).",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.1.d,Provide a concluding statement or section related to the opinion presented.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.2.a,"Introduce a topic clearly and group related information in paragraphs and sections; include formatting (e.g., headings), illustrations, and multimedia to aid comprehension, if needed.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.2.b,"Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.2.c,"Link ideas within categories of information using words and phrases (e.g., another, for example, also, because).",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.2.d,Use precise language and domain-specific vocabulary to inform about or explain the topic.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.2.e,Provide a concluding statement or section related to the information or explanation presented.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.3.a,Orient the reader by establishing a situation and introducing a narrator and/or characters; organize an event sequence that unfolds naturally.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.3.b,Use dialogue and description to develop experiences and events or show the responses of characters to situations.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.3.c,Use a variety of transitional words and phrases to manage the sequence of events.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.3.d,Use concrete words and phrases and sensory details to convey experiences and events precisely.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.3.e,Provide a conclusion that follows from the narrated experiences or events.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.1.a,"Introduce a topic or text clearly, state an opinion, and create an organizational structure in which ideas are logically grouped to support the writer's purpose.",,,,,,
